id,name,Weighted Average Verification Age (Days),Merchants per Capita,Merchants per km²,Score,population,area_km2,total_merchants,weighted_total_merchants,up_to_date_elements,up_to_date_percent,Average Verification Age (Days),id (Latest Report),date,average_verification_date,grade,legacy_elements,outdated_elements,total_elements,total_elements_atms,total_elements_lightning,total_elements_lightning_contactless,total_elements_onchain
82,Bitcoin Bulgaria,355.16,0.0000209802,0,0.0,6815962,,143,72.93,86,51,346,167365,2025-01-21,2024-02-12 00:00:00,,3,80,166,23,122,73,135
17,Alicante Bitcoin Plebs 🍊💊,0,0.0000000000,0.0000000000,0.0,338577,500.72,0,0.0,0,0,None,153224,2024-01-29,,,0,0,0,0,0,0,0
30,Asturias 2140,0,0.0000000000,0.0000000000,0.07996684773925548,6260,367.25,0,0.0,0,0,None,153229,2024-01-29,,,0,0,0,0,0,0,0
46,Barcelona Bitcoin Only,346.53,0.0000152794,0.1086625810,0.8621564946477073,1636193,230.07,25,17.0,26,68,338,166231,2024-12-18,2024-02-20 00:00:00,,0,12,38,13,13,3,33
64,Bitcoin 2140 A Coruña,351.67,0.0000081733,0.0180440274,0.2879445692320705,244700,110.84,2,1.32,2,66,345,163552,2024-10-05,2024-02-13 00:00:00,,0,1,3,1,1,0,3
68,Bitcoin & Cards,319.73,0,0.1635991820,0.8681598498162646,,220.05,36,28.080000000000002,32,78,307,167115,2025-01-15,2024-03-22 00:00:00,,1,9,41,5,35,9,23
83,Bitcoin Cádiz,121.0,0.0000000000,0.0000000000,0.23341188688288864,94120,111.14,0,0.0,1,100,121,163159,2024-09-25,2024-09-24 00:00:00,,0,0,1,1,0,0,1
86,Bitcoin Club Malta,287.75,0,0.0048553622,0.2617521367521367,,2883.41,14,10.5,12,75,262,166061,2024-12-11,2024-05-06 00:00:00,,1,4,16,2,13,0,15
87,Bitcoin Córdoba,281.0,0.0000062595,0.0012040722,0.16457382695352668,319515,1661.03,2,1.5,3,75,253,165686,2024-12-01,2024-05-15 00:00:00,,0,1,4,2,1,0,2
102,Bitcoin Figueres,389.83,0.0001274210,0.0770910960,0.31583392017114587,47088,77.83,6,0.96,1,16,514,166228,2024-12-18,2023-08-28 00:00:00,,1,5,6,0,6,0,0
125,Bitcoin Murcia 2140,135.0,0.0000021599,0.0007845537,0.19231391960122873,462979,1274.61,1,1.0,5,100,135,164507,2024-10-30,2024-09-10 00:00:00,,0,0,5,4,0,0,5
127,Bitcoin Night,373.89,0.0000252501,0.2142270220,0.573912241881894,2891082,340.76,73,12.41,13,17,417,167013,2025-01-11,2023-12-03 00:00:00,,1,63,76,3,67,3,63
130,Bitcoin - Orihuela Costa,86.0,0.0000000000,0.0000000000,0.22442281881522222,80784,726.4,0,0.0,1,100,86,164485,2024-10-30,2024-10-29 00:00:00,,0,0,1,1,0,0,1
135,Bitcoin Querétaro,397.67,0.0000136703,0.0398695179,0.3151690487633,804663,275.9,11,1.76,2,16,561,167294,2025-01-20,2023-07-12 00:00:00,,0,10,12,1,10,0,11
139,Bitcoin Sevilla,258.6,0.0000029326,0.0069686411,0.31002556218775906,681998,287.0,2,1.6,4,80,232,163884,2024-10-14,2024-06-05 00:00:00,,0,1,5,3,2,0,4
141,Bitcoin Social Club MADRID,235.0,0.0000064009,0.0229292687,0.6287492033337665,3280782,915.86,21,17.01,26,81,205,166621,2024-12-31,2024-07-02 00:00:00,,0,6,32,11,12,1,23
145,Bitcoin Tuesday,235.0,0.0000064009,0.0229292687,0.6287492033337665,3280782,915.86,21,17.01,26,81,205,166614,2024-12-31,2024-07-02 00:00:00,,0,6,32,11,12,1,23
177,Brussels 2140,392.5,0.0000425222,0.0637297857,0.3866545221350816,188137,125.53,8,4.0,4,50,420,166320,2024-12-21,2023-11-30 00:00:00,,0,4,8,0,5,3,5
188,Cambridge Bitcoin,401.67,0.0000205939,0.0738370662,0.3204522007373926,145674,40.63,3,0.99,1,33,475,165747,2024-12-02,2023-10-06 00:00:00,,0,2,3,0,1,1,3
371,Gipuzkoa 2140,257.0,0.0000053234,0.0047680351,0.3031077366442438,187849,209.73,1,1.0,1,100,257,163516,2024-10-05,2024-05-11 00:00:00,,0,0,1,0,0,0,1
378,Granada 2140,281.0,0.0000131187,0.0145482760,0.33837425458110687,228682,206.21,3,2.4000000000000004,4,80,260,164486,2024-10-30,2024-05-08 00:00:00,,0,1,5,2,3,0,4
460,Mallorca 21 Bitcoin,0,0.0000000000,0.0000000000,0.2518778113414325,405318,462.52,0,0.0,0,0,None,153432,2024-01-29,,,0,0,0,0,0,0,0
468,MeetBMad,235.0,0.0000064009,0.0229292687,0.6287492033337665,3280782,915.86,21,17.01,26,81,205,166625,2024-12-31,2024-07-02 00:00:00,,0,6,32,11,12,1,23
551,Reus 2140,184.0,0.0000093685,0.0070387837,0.3101473182507444,106741,142.07,1,1.0,2,100,184,163586,2024-10-06,2024-07-23 00:00:00,,0,0,2,1,0,0,2
556,Round Rock Bitcoiners,0,0.0000000000,0.0000000000,0.27325042224310797,119468,257.1,0,0.0,0,0,None,157699,2024-04-21,,,0,0,0,0,0,0,0
569,Santiago de Chile,388.75,0.0000004887,0.0373785198,0.3103460517886926,6139087,80.26,3,0.75,1,25,460,167225,2025-01-18,2023-10-21 00:00:00,,0,3,4,1,3,1,3
570,São Paulo - Go BTC,172.47,0,0.0413261701,0.8439077342452166,,1500.26,62,58.9,61,95,163,167393,2025-01-23,2024-08-13 00:00:00,,2,3,64,2,57,25,47
