id,name,Weighted Average Verification Age (Days),Merchants per Capita,Merchants per km²,Score,population,area_km2,total_merchants,weighted_total_merchants,up_to_date_elements,up_to_date_percent,Average Verification Age (Days),id (Latest Report),date,average_verification_date,grade,legacy_elements,outdated_elements,total_elements,total_elements_atms,total_elements_lightning,total_elements_lightning_contactless,total_elements_onchain
367,Guernsey,365.0,0.0000159256,0.0207641196,0.0,62792,48.16,1,0.0,0,0,842,153606,2024-01-29,2022-10-04 00:00:00,,0,1,1,0,1,0,1
166,Bermuda,0,0.0000000000,0.0000000000,0.0,63918,66.13,0,0.0,0,0,None,153607,2024-01-29,,,0,0,0,0,0,0,0
193,Republic of the Congo,0,0.0000000000,0.0000000000,0.0,5380508,347652.39,0,0.0,0,0,None,153608,2024-01-29,,,0,0,0,0,0,0,0
40,Bosnia and Herzegovina,383.2,0.0000012118,0.0000772193,0.9552997463932291,3301000,51800.5,4,2.8,7,70,391,165388,2024-11-23,2023-12-29 00:00:00,,0,3,10,6,3,0,9
513,Niue,0,0.0000000000,0.0000000000,0.299829640175924,1620,197.42,0,0.0,0,0,None,153610,2024-01-29,,,0,0,0,0,0,0,0
495,Mozambique,0,0.0000000000,0.0000000000,0.0,30366036,792438.1,0,0.0,0,0,None,153611,2024-01-29,,,0,0,0,0,0,0,0
512,Nauru,0,0.0000000000,0.0000000000,0.29998945280394773,12581,27.86,0,0.0,0,0,None,153612,2024-01-29,,,0,0,0,0,0,0,0
644,United States Virgin Islands,0,0.0000000000,0.0000000000,0.29988016855827604,106631,316.53,0,0.0,0,0,None,153613,2024-01-29,,,0,0,0,0,0,0,0
560,Saudi Arabia,310.0,0.0000000292,0.0000005181,0.25,34268528,1930153.01,1,1.0,1,100,310,156242,2024-03-20,2024-03-19 00:00:00,,0,0,1,0,1,0,1
491,Maldives,0,0.0000000000,0.0000000000,0.2999896547061831,530953,66.56,0,0.0,0,0,None,153616,2024-01-29,,,0,0,0,0,0,0,0
357,Fiji,0,0.0000000000,0.0000000000,0.2971326765436073,889953,18447.91,0,0.0,0,0,None,153617,2024-01-29,,,0,0,0,0,0,0,0
425,South Korea,357.36,0.0000010636,0.0005648722,0.9848664080781865,51709098,97367.16,55,41.8,42,76,355,167343,2025-01-21,2024-02-03 00:00:00,,1,13,55,0,54,8,11
609,Togo,0,0.0000000000,0.0000000000,0.29109903727269787,8082366,57267.4,0,0.0,0,0,None,153619,2024-01-29,,,0,0,0,0,0,0,0
545,Qatar,0,0.0000000000,0.0000000000,0.29827492070175304,2832067,11098.89,0,0.0,0,0,None,153620,2024-01-29,,,0,0,0,0,0,0,0
613,East Timor,0,0.0000000000,0.0000000000,0.2976601077859625,1293119,15054.5,0,0.0,0,0,None,153621,2024-01-29,,,0,0,0,0,0,0,0
